Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:2 THR:3.0 soft,F3-C3,8.621667062054941,1.680581127507986e-05,1.5870266659995063,0.9452231496519248,33.0514491541239
DB4 LVL:2 THR:4.0 hard,FP1-F7,5.332973416859328,3.123987467691861e-05,1.1329724167496158,0.9041182280500742,43.77013049761887
DB4 LVL:2 THR:4.0 hard,F7-T7,4.722845387140487,2.5005514209797614e-05,1.958204595110087,0.8837808522865449,47.29017854286292
DB4 LVL:2 THR:4.0 hard,T7-P7,4.170247305383658,2.940720473768792e-05,2.2997068171524844,0.8724188994104852,49.42080649402923
DB4 LVL:2 THR:4.0 hard,P7-O1,5.070705812853927,2.5195531691098106e-05,1.9537537041350366,0.8930268421163148,45.61469688983028
DB4 LVL:2 THR:4.0 hard,FP1-F3,5.947531868556492,2.9497853236502674e-05,1.1814774714157132,0.9107101587704654,42.015480850768085
DB4 LVL:2 THR:4.0 hard,F3-C3,8.623957144794021,1.6801459943144268e-05,1.5866157557672442,0.9452545135979151,33.04289152939113
DB4 LVL:2 THR:4.0 soft,FP1-F7,5.3215004114066105,3.127880628541938e-05,1.1343843442630015,0.9038302542983501,43.82467750211822
DB4 LVL:2 THR:4.0 soft,F7-T7,4.687577232340756,2.5100197249097664e-05,1.9656193101637651,0.8827595454129059,47.469242160427946
DB4 LVL:2 THR:4.0 soft,T7-P7,4.147356239562438,2.9478446058377993e-05,2.305278042038199,0.8716935285817556,49.540532376023414
DB4 LVL:2 THR:4.0 soft,P7-O1,5.0682952552440845,2.5201948920739387e-05,1.9542513195985898,0.8929638206049523,45.62631482226958
DB4 LVL:2 THR:4.0 soft,FP1-F3,5.93925776499108,2.9524204747098288e-05,1.1825329284300552,0.9105255877455162,42.053014815695704
DB4 LVL:2 THR:4.0 soft,F3-C3,8.6205620307487,1.6807909666350527e-05,1.5872248238181168,0.9452080267820937,33.05557599282587
DB4 LVL:3 THR:0.5 hard,FP1-F7,5.245208611847537,3.14836076624039e-05,1.1418118488044087,0.9024840474594628,44.11162433175219
DB4 LVL:3 THR:0.5 hard,F7-T7,4.699001726581587,2.505091855797781e-05,1.9617602509745684,0.8833460583132001,47.37604679232377
DB4 LVL:3 THR:0.5 hard,T7-P7,3.795824771192918,3.031927245555567e-05,2.371032479254502,0.863663007054916,50.95359829101446
DB4 LVL:3 THR:0.5 hard,P7-O1,4.6806257195691945,2.6073654547720836e-05,2.0218465630135993,0.8847633094337288,47.20447512622407
